nama,lat,long
Al Ikhlas Bone,0.33756,123.46097
Al Ihsan Bone Raya,0.31044,123.34598
At Taibah Bulawa,0.32442,123.27561
Al Arqam Suwawa Timur,0.51472,123.22386
Nurul Ihklas Bone Pantai,0.38017,123.21278
Istiqamah Suwawa Selatan,0.52233,123.16664
An Nuur Suwawa Tengah,0.53294,123.15797
Al Marhamah Suwawa,0.53486,123.13514
Al Abidin Bulango Ulu,0.65994,123.13436
Al Misbah Tilongkabila,0.57431,123.11353
Al Iman Kabila Bone,0.47161,123.10503
Al Hidayah Botupingge,0.52756,123.10264
Al Mujahidin Bulango Timur,0.59964,123.09797
Al Mutakaddir Kabila,0.54192,123.09414
An Nuur Bulango Utara,0.63361,123.08483
Al Mutathahhirin Tapa,0.61117,123.0835
Al Khairat Bulango Selatan,0.60022,123.07444
Al Muhajirin Kabila,0.54494,123.09444
Wira Bakti Suwawa,0.53639,123.13583
Az Zikra Kabila Bone,0.46894,123.10597
Nurul Jannah Kota Utara,0.56722,123.06917
Al Ikhlas Dumbo Raya,0.52111,123.065
Al Jauhar Kota Timur,0.52917,123.0625
Baiturrahim Kota Selatan,0.53778,123.06028
Arrahman Hulondhalangi,0.53042,123.05611
Al Mukhlisin Sipatana,0.58028,123.05472
Almuhajirin Kota Tengah,0.56944,123.04944
Al Jaariyat Dungingi,0.56944,123.03667
Al Isra” Kota Barat,0.54917,123.03417
Al Jamaah Kota Selatan,0.54639,123.05889
Sabilulhuda Kota Timur,0.53972,123.05833
Darur Arkam Kota,0.54111,123.06111
Arrahman Telaga,0.5775,123.04472
Al Muhidiin Telaga Biru,0.60378,123.02992
Al Muttaqiin Tilango,0.56897,123.02972
Baiturridha Telaga Jaya,0.57811,123.02672
Nurul Amiim Batudaa Pentai,0.49519,122.99919
MA. Baiturrahman Limboto,0.62689,122.98028
Darussalam Batudaa,0.56203,122.95114
An Nuur Limboto Barat,0.63806,122.94472
Nuruttaqwa Limboto,0.61992,122.93944
Al Jihad Tabongo,0.57447,122.93175
An Nuur Bongomeme,0.60081,122.86725
Baiturrahman Isimu Tibawa,0.65008,122.85742
Arraidha Pulubala,0.6525,122.80139
Nuurul Iman Biluhu,0.48333,122.8
An Nuur Mootilango,0.70028,122.64347
Ar Rahman Boliyohuto,0.67144,122.60333
Muhaajirin Tolangohula,0.70033,122.55889
Nuur Iman Asparaga,0.77236,122.47378
Almunawarah Atinggola,0.89697,123.11717
At Taqwa Gentuma,0.92539,123.03781
Al Hijrah Tomelito,0.88256,122.94447
At Taqwa Kwandang,0.8335,122.91653
MA. Baiturrahim Gorut,0.83578,122.91581
Al Bakrun Ponelo,0.88964,122.88742
Baitul Hamdi Anggrek,0.84731,122.774
Babussalam Monano,0.86772,122.69808
Al Muhajirin Sumalata,0.98303,122.41942
As Syuhada Biawu,0.98589,122.21681
Nurulhidayah Tolinggula,1.01467,122.17558
Tahta Nuur Paguyaman Pantai,0.51642,122.55542
An Nuur Paguyaman,0.63214,122.57378
An-Nuur Dulupi,0.58594,122.47528
Al Mubaraqah Wonsari,0.70764,122.45036
Al Ikhlas Dulupi Pantai,0.52111,122.45472
Baiturrahman Boalemo,0.52194,122.34556
Baiturrahmah Tilamuta,0.52861,122.32889
Al Ihsan Botumoito,0.49419,122.29733
Nurul Mubiin Mananggu,0.50556,122.13928
Al Muttaqin Dengilo,0.52694,122.090
Bairurrahman Paguat,0.48667,122.07486
MA Darussalam Pohuwato,0.46139,121.94667
An Nuur Marisa,0.46739,121.93636
Ar- Rayyan Duhiyadaa,0.48731,121.92192
Nurul Falak Patilanggio,0.47389,121.86253
Nuurulhayat Buntulia,0.49581,121.83353
Al Mukhlisin Randagan,0.52699,121.81233
Salafiyah Syafi’iyah Taluditi,0.54806,121.79
Arrayan Wanggarasi,0.53619,121.70239
Al Musyawwarah Lemito,0.54458,121.57389
An-Nuur Popayato Timur,0.51033,121.47467
At-Taqwa Popayato Barat,0.49331,121.41342
